food,safe_alternative,reason
kathi roll,stir-fried veggies,stir-fried veggies is lower in saturated fat and calories compared to kathi roll.
cheese dosa,greek yogurt,greek yogurt is reduced oil and lighter on the stomach compared to cheese dosa.
large spring rolls,black coffee (no sugar),black coffee (no sugar) is baked or steamed instead of deep-fried compared to large spring rolls.
bhujia,plain phulka (no oil),plain phulka (no oil) is lower sodium content supports heart health compared to bhujia.
garlic chicken biryani,poha (less oil),poha (less oil) is fermented or dairy option aids digestion compared to garlic chicken biryani.
large barfi,low-oil vegetable upma,low-oil vegetable upma is lower sodium content supports heart health compared to large barfi.
ice cream,baked nuts mix (unsalted),baked nuts mix (unsalted) is contains more protein to keep you full compared to ice cream.
masala samosa,dal fry (less oil),dal fry (less oil) is baked or steamed instead of deep-fried compared to masala samosa.
double cheese fries,grilled chicken,grilled chicken is fermented or dairy option aids digestion compared to double cheese fries.
large doughnut,vegetable soup,vegetable soup is whole grains provide sustained energy compared to large doughnut.
extra cheese chole bhature,baked plain dosa,baked plain dosa is contains more protein to keep you full compared to extra cheese chole bhature.
chicken biryani,no sugar dal tadka,no sugar dal tadka is fermented or dairy option aids digestion compared to chicken biryani.
orange soda,whole wheat roti,whole wheat roti is lower in saturated fat and calories compared to orange soda.
butter dosa,air-popped popcorn,air-popped popcorn is baked or steamed instead of deep-fried compared to butter dosa.
butter dosa,vegetable soup,vegetable soup is higher in fiber which improves satiety compared to butter dosa.
bhujia,light ragi dosa,light ragi dosa is contains more protein to keep you full compared to bhujia.
gulab jamun,steamed idli,steamed idli is includes more vegetables and micronutrients compared to gulab jamun.
extra cheese poori,grilled chicken,grilled chicken is reduced oil and lighter on the stomach compared to extra cheese poori.
shawarma,coconut water,coconut water is fermented or dairy option aids digestion compared to shawarma.
garlic fish and chips,herbal tea,herbal tea is higher in fiber which improves satiety compared to garlic fish and chips.
laddu,quinoa,quinoa is whole grains provide sustained energy compared to laddu.
orange soda,sattu drink (unsweetened),sattu drink (unsweetened) is reduced oil and lighter on the stomach compared to orange soda.
small butter chicken,hand-pounded rice,hand-pounded rice is contains more protein to keep you full compared to small butter chicken.
small fish and chips,baked sweet potato,baked sweet potato is includes more vegetables and micronutrients compared to small fish and chips.
loaded falooda,tofu stir-fry,tofu stir-fry is higher in fiber which improves satiety compared to loaded falooda.
spicy doughnut,sweet potato chaat,sweet potato chaat is baked or steamed instead of deep-fried compared to spicy doughnut.
family pack ramen with pork,sauteed greens,sauteed greens is whole grains provide sustained energy compared to family pack ramen with pork.
cold coffee,grilled dal fry (less oil),grilled dal fry (less oil) is lower in saturated fat and calories compared to cold coffee.
cola,low-oil grilled fish,low-oil grilled fish is higher in fiber which improves satiety compared to cola.
masala kathi roll,low-oil vegetable khichdi,low-oil vegetable khichdi is lower sodium content supports heart health compared to masala kathi roll.
popcorn butter,steamed dal fry (less oil),steamed dal fry (less oil) is baked or steamed instead of deep-fried compared to popcorn butter.
barfi,baked fruit salad,baked fruit salad is contains more protein to keep you full compared to barfi.
spicy poori,brown rice,brown rice is baked or steamed instead of deep-fried compared to spicy poori.
kathi roll,moong chilla,moong chilla is fermented or dairy option aids digestion compared to kathi roll.
aloo paratha,steamed baked samosa,steamed baked samosa is reduced oil and lighter on the stomach compared to aloo paratha.
dal makhani,grilled chicken,grilled chicken is less sugar and better for blood glucose control compared to dal makhani.
cola,dal tadka,dal tadka is baked or steamed instead of deep-fried compared to cola.
french fries,steamed poha (less oil),steamed poha (less oil) is contains more protein to keep you full compared to french fries.
kulfi,grilled chicken,grilled chicken is whole grains provide sustained energy compared to kulfi.
butter bhatura,light sauteed greens,light sauteed greens is reduced oil and lighter on the stomach compared to butter bhatura.
spring rolls,millet roti,millet roti is fermented or dairy option aids digestion compared to spring rolls.
kachori,plain oats upma,plain oats upma is lower in saturated fat and calories compared to kachori.
double fried chicken,buttermilk,buttermilk is fermented or dairy option aids digestion compared to double fried chicken.
halwa,plain dal fry (less oil),plain dal fry (less oil) is less sugar and better for blood glucose control compared to halwa.
pepperoni pizza,no sugar dal fry (less oil),no sugar dal fry (less oil) is higher in fiber which improves satiety compared to pepperoni pizza.
masala doughnut,baked multigrain roti,baked multigrain roti is baked or steamed instead of deep-fried compared to masala doughnut.
garlic maggi noodles,moong chilla,moong chilla is fermented or dairy option aids digestion compared to garlic maggi noodles.
bhel puri,roasted chana,roasted chana is higher in fiber which improves satiety compared to bhel puri.
chocolate ice cream,brown rice,brown rice is whole grains provide sustained energy compared to chocolate ice cream.
chole bhature,homestyle herbal tea,homestyle herbal tea is includes more vegetables and micronutrients compared to chole bhature.
large kathi roll,steamed vegetable soup,steamed vegetable soup is baked or steamed instead of deep-fried compared to large kathi roll.
fried rice,light whole wheat roti,light whole wheat roti is lower in saturated fat and calories compared to fried rice.
double orange soda,buttermilk,buttermilk is contains more protein to keep you full compared to double orange soda.
regular vada pav,grilled roasted veggies,grilled roasted veggies is reduced oil and lighter on the stomach compared to regular vada pav.
manchurian,vegetable upma,vegetable upma is lower sodium content supports heart health compared to manchurian.
flavored yogurt,greek yogurt,greek yogurt is reduced oil and lighter on the stomach compared to flavored yogurt.
bhatura,baked samosa,baked samosa is contains more protein to keep you full compared to bhatura.
black forest cake,sattu drink (unsweetened),sattu drink (unsweetened) is includes more vegetables and micronutrients compared to black forest cake.
poori,brown rice,brown rice is lower in saturated fat and calories compared to poori.
double sweetened yogurt,ragi dosa,ragi dosa is reduced oil and lighter on the stomach compared to double sweetened yogurt.
rasmalai,plain roasted chana,plain roasted chana is lower sodium content supports heart health compared to rasmalai.
cheese dosa,millet roti,millet roti is lower sodium content supports heart health compared to cheese dosa.
sweetened yogurt,cucumber salad,cucumber salad is higher in fiber which improves satiety compared to sweetened yogurt.
double bhatura,tandoori chicken,tandoori chicken is reduced oil and lighter on the stomach compared to double bhatura.
black forest cake,herbal tea,herbal tea is whole grains provide sustained energy compared to black forest cake.
lachha paratha,baked plain khichdi,baked plain khichdi is reduced oil and lighter on the stomach compared to lachha paratha.
kulcha,plain khichdi,plain khichdi is whole grains provide sustained energy compared to kulcha.
small fish and chips,grilled fish,grilled fish is reduced oil and lighter on the stomach compared to small fish and chips.
butter dosa,tofu tikka,tofu tikka is whole grains provide sustained energy compared to butter dosa.
small gulab jamun,air-popped popcorn,air-popped popcorn is contains more protein to keep you full compared to small gulab jamun.
masala shawarma,low-oil moong chilla,low-oil moong chilla is includes more vegetables and micronutrients compared to masala shawarma.
regular fried rice,steamed chaas,steamed chaas is reduced oil and lighter on the stomach compared to regular fried rice.
veg biryani,sweet potato chaat,sweet potato chaat is fermented or dairy option aids digestion compared to veg biryani.
double chocolate ice cream,fruit salad,fruit salad is higher in fiber which improves satiety compared to double chocolate ice cream.
double cheese pizza,unsweetened grilled fish,unsweetened grilled fish is whole grains provide sustained energy compared to double cheese pizza.
bhatura,moong chilla,moong chilla is reduced oil and lighter on the stomach compared to bhatura.
kachori,cucumber salad,cucumber salad is fermented or dairy option aids digestion compared to kachori.
chole bhature,no butter hand-pounded rice,no butter hand-pounded rice is less sugar and better for blood glucose control compared to chole bhature.
loaded fries,baked samosa,baked samosa is contains more protein to keep you full compared to loaded fries.
regular kaju katli,poha (less oil),poha (less oil) is baked or steamed instead of deep-fried compared to regular kaju katli.
orange soda,plain chaas,plain chaas is contains more protein to keep you full compared to orange soda.
extra cheese gulab jamun,steamed idli,steamed idli is baked or steamed instead of deep-fried compared to extra cheese gulab jamun.
sev puri,grilled multigrain roti,grilled multigrain roti is includes more vegetables and micronutrients compared to sev puri.
regular hakka noodles,poha (less oil),poha (less oil) is lower sodium content supports heart health compared to regular hakka noodles.
energy drink,tandoori chicken,tandoori chicken is whole grains provide sustained energy compared to energy drink.
fried chicken,quinoa,quinoa is less sugar and better for blood glucose control compared to fried chicken.
cheese dosa,unsweetened paneer tikka,unsweetened paneer tikka is includes more vegetables and micronutrients compared to cheese dosa.
loaded jalebi,quinoa,quinoa is fermented or dairy option aids digestion compared to loaded jalebi.
noodles,plain chaas,plain chaas is fermented or dairy option aids digestion compared to noodles.
veg biryani,steamed idli,steamed idli is lower sodium content supports heart health compared to veg biryani.
butter chicken,grilled fish,grilled fish is reduced oil and lighter on the stomach compared to butter chicken.
dal makhani,homestyle brown rice,homestyle brown rice is lower in saturated fat and calories compared to dal makhani.
sev puri,vegetable upma,vegetable upma is fermented or dairy option aids digestion compared to sev puri.
french fries,baked oats upma,baked oats upma is lower sodium content supports heart health compared to french fries.
garlic barfi,plain tofu tikka,plain tofu tikka is whole grains provide sustained energy compared to garlic barfi.
regular sev,buttermilk,buttermilk is lower in saturated fat and calories compared to regular sev.
samosa,dark chocolate (small piece),dark chocolate (small piece) is lower in saturated fat and calories compared to samosa.
loaded bhujia,dal fry (less oil),dal fry (less oil) is baked or steamed instead of deep-fried compared to loaded bhujia.
small brownie sundae,sauteed greens,sauteed greens is less sugar and better for blood glucose control compared to small brownie sundae.
loaded samosa,cucumber salad,cucumber salad is less sugar and better for blood glucose control compared to loaded samosa.
pizza,paneer tikka,paneer tikka is lower sodium content supports heart health compared to pizza.
large white bread,low-oil baked sweet potato,low-oil baked sweet potato is includes more vegetables and micronutrients compared to large white bread.
large pakora,tofu tikka,tofu tikka is lower sodium content supports heart health compared to large pakora.
milkshake,grilled millet roti,grilled millet roti is higher in fiber which improves satiety compared to milkshake.
sev puri,dark chocolate (small piece),dark chocolate (small piece) is contains more protein to keep you full compared to sev puri.
double sweetened yogurt,homestyle roasted veggies,homestyle roasted veggies is reduced oil and lighter on the stomach compared to double sweetened yogurt.
sweet lassi,paneer tikka,paneer tikka is baked or steamed instead of deep-fried compared to sweet lassi.
halwa,sweet potato chaat,sweet potato chaat is lower in saturated fat and calories compared to halwa.
butter naan,unsweetened millet roti,unsweetened millet roti is reduced oil and lighter on the stomach compared to butter naan.
sweetened yogurt,steamed baked fish,steamed baked fish is reduced oil and lighter on the stomach compared to sweetened yogurt.
orange soda,unsweetened tofu tikka,unsweetened tofu tikka is lower in saturated fat and calories compared to orange soda.
butter chicken,plain low-fat yogurt,plain low-fat yogurt is lower sodium content supports heart health compared to butter chicken.
schezwan rice,homestyle coconut water,homestyle coconut water is higher in fiber which improves satiety compared to schezwan rice.
veg biryani,plain dal tadka,plain dal tadka is fermented or dairy option aids digestion compared to veg biryani.
extra cheese nachos,fruit salad,fruit salad is baked or steamed instead of deep-fried compared to extra cheese nachos.
small dal makhani,dal tadka,dal tadka is reduced oil and lighter on the stomach compared to small dal makhani.
family pack bhatura,steamed idli,steamed idli is higher in fiber which improves satiety compared to family pack bhatura.
tortilla chips,plain vegetable khichdi,plain vegetable khichdi is baked or steamed instead of deep-fried compared to tortilla chips.
bhatura,steamed oats upma,steamed oats upma is fermented or dairy option aids digestion compared to bhatura.
cheese dosa,green tea,green tea is lower sodium content supports heart health compared to cheese dosa.
pepperoni pizza,oats upma,oats upma is fermented or dairy option aids digestion compared to pepperoni pizza.
regular falooda,grilled greek yogurt,grilled greek yogurt is less sugar and better for blood glucose control compared to regular falooda.
small lachha paratha,unsweetened greek yogurt,unsweetened greek yogurt is reduced oil and lighter on the stomach compared to small lachha paratha.
butter laddu,air-popped popcorn,air-popped popcorn is fermented or dairy option aids digestion compared to butter laddu.
large milkshake,whole wheat roti,whole wheat roti is lower sodium content supports heart health compared to large milkshake.
spicy garlic bread,baked fish,baked fish is includes more vegetables and micronutrients compared to spicy garlic bread.
double flavored yogurt,homestyle low-fat yogurt,homestyle low-fat yogurt is baked or steamed instead of deep-fried compared to double flavored yogurt.
pakora,baked samosa,baked samosa is includes more vegetables and micronutrients compared to pakora.
cheese fries,dal tadka,dal tadka is contains more protein to keep you full compared to cheese fries.
vada pav,hand-pounded rice,hand-pounded rice is reduced oil and lighter on the stomach compared to vada pav.
loaded aloo paratha,greek yogurt,greek yogurt is lower in saturated fat and calories compared to loaded aloo paratha.
garlic poori,millet roti,millet roti is lower sodium content supports heart health compared to garlic poori.
rasgulla,baked baked fish,baked baked fish is baked or steamed instead of deep-fried compared to rasgulla.
brownie,ragi dosa,ragi dosa is less sugar and better for blood glucose control compared to brownie.
butter chicken,chaas,chaas is fermented or dairy option aids digestion compared to butter chicken.
garlic kheer,baked sweet potato,baked sweet potato is contains more protein to keep you full compared to garlic kheer.
energy drink,sauteed greens,sauteed greens is lower in saturated fat and calories compared to energy drink.
manchurian,black coffee (no sugar),black coffee (no sugar) is baked or steamed instead of deep-fried compared to manchurian.
small peda,sprouts salad,sprouts salad is whole grains provide sustained energy compared to small peda.
fried rice,coconut water,coconut water is contains more protein to keep you full compared to fried rice.
extra cheese ice cream,cucumber salad,cucumber salad is lower sodium content supports heart health compared to extra cheese ice cream.
loaded cheese dosa,plain dosa,plain dosa is baked or steamed instead of deep-fried compared to loaded cheese dosa.
butter fish and chips,sauteed greens,sauteed greens is includes more vegetables and micronutrients compared to butter fish and chips.
white bread,air-popped popcorn,air-popped popcorn is less sugar and better for blood glucose control compared to white bread.
mutton biryani,grilled vegetable upma,grilled vegetable upma is reduced oil and lighter on the stomach compared to mutton biryani.
family pack cheese paratha,sprouts salad,sprouts salad is fermented or dairy option aids digestion compared to family pack cheese paratha.
misal pav,low-fat yogurt,low-fat yogurt is higher in fiber which improves satiety compared to misal pav.
kaju katli,grilled chicken,grilled chicken is less sugar and better for blood glucose control compared to kaju katli.
pav bhaji,roasted veggies,roasted veggies is less sugar and better for blood glucose control compared to pav bhaji.
rasmalai,grilled paneer tikka,grilled paneer tikka is lower in saturated fat and calories compared to rasmalai.
masala rasmalai,tofu tikka,tofu tikka is lower sodium content supports heart health compared to masala rasmalai.
chips,low-oil sprouts salad,low-oil sprouts salad is whole grains provide sustained energy compared to chips.
paneer butter masala,oats upma,oats upma is less sugar and better for blood glucose control compared to paneer butter masala.
family pack halwa,steamed idli,steamed idli is whole grains provide sustained energy compared to family pack halwa.
pepperoni pizza,plain quinoa,plain quinoa is baked or steamed instead of deep-fried compared to pepperoni pizza.
misal pav,tofu tikka,tofu tikka is includes more vegetables and micronutrients compared to misal pav.
white bread,baked samosa,baked samosa is less sugar and better for blood glucose control compared to white bread.
bhel puri,sprouts salad,sprouts salad is whole grains provide sustained energy compared to bhel puri.
butter popcorn butter,moong chilla,moong chilla is whole grains provide sustained energy compared to butter popcorn butter.
small sweetened yogurt,lemon water,lemon water is whole grains provide sustained energy compared to small sweetened yogurt.
butter cheese paratha,air-popped popcorn,air-popped popcorn is contains more protein to keep you full compared to butter cheese paratha.
brownie sundae,unsweetened vegetable upma,unsweetened vegetable upma is includes more vegetables and micronutrients compared to brownie sundae.
french fries,low-fat yogurt,low-fat yogurt is higher in fiber which improves satiety compared to french fries.
pizza,air-popped popcorn,air-popped popcorn is contains more protein to keep you full compared to pizza.
instant noodles,dark chocolate (small piece),dark chocolate (small piece) is lower sodium content supports heart health compared to instant noodles.
black forest cake,steamed poha (less oil),steamed poha (less oil) is fermented or dairy option aids digestion compared to black forest cake.
spicy vada pav,tofu tikka,tofu tikka is fermented or dairy option aids digestion compared to spicy vada pav.
chicken nuggets,whole wheat roti,whole wheat roti is reduced oil and lighter on the stomach compared to chicken nuggets.
flavored yogurt,homestyle greek yogurt,homestyle greek yogurt is whole grains provide sustained energy compared to flavored yogurt.
spicy rasmalai,roasted chana,roasted chana is less sugar and better for blood glucose control compared to spicy rasmalai.
regular paneer tikka pizza,light coconut water,light coconut water is baked or steamed instead of deep-fried compared to regular paneer tikka pizza.
doughnut,hand-pounded rice,hand-pounded rice is less sugar and better for blood glucose control compared to doughnut.
garlic bread,low-fat yogurt,low-fat yogurt is fermented or dairy option aids digestion compared to garlic bread.
chicken biryani,fruit salad,fruit salad is includes more vegetables and micronutrients compared to chicken biryani.
bhel puri,unsweetened whole wheat roti,unsweetened whole wheat roti is reduced oil and lighter on the stomach compared to bhel puri.
extra cheese falooda,brown rice,brown rice is reduced oil and lighter on the stomach compared to extra cheese falooda.
regular falooda,vegetable upma,vegetable upma is fermented or dairy option aids digestion compared to regular falooda.
spicy veg biryani,steamed dal fry (less oil),steamed dal fry (less oil) is fermented or dairy option aids digestion compared to spicy veg biryani.
chocolate ice cream,cucumber salad,cucumber salad is less sugar and better for blood glucose control compared to chocolate ice cream.
french fries,phulka (no oil),phulka (no oil) is includes more vegetables and micronutrients compared to french fries.
nachos,oats dosa,oats dosa is whole grains provide sustained energy compared to nachos.
masala popcorn butter,herbal tea,herbal tea is fermented or dairy option aids digestion compared to masala popcorn butter.
cheesecake,vegetable upma,vegetable upma is reduced oil and lighter on the stomach compared to cheesecake.
kachori,coconut water,coconut water is less sugar and better for blood glucose control compared to kachori.
pizza,ragi dosa,ragi dosa is contains more protein to keep you full compared to pizza.
garlic poori,poha (less oil),poha (less oil) is fermented or dairy option aids digestion compared to garlic poori.
dal makhani,oats dosa,oats dosa is lower sodium content supports heart health compared to dal makhani.
butter schezwan rice,grilled green tea,grilled green tea is lower in saturated fat and calories compared to butter schezwan rice.
pani puri,hand-pounded rice,hand-pounded rice is includes more vegetables and micronutrients compared to pani puri.
veg biryani,green tea,green tea is includes more vegetables and micronutrients compared to veg biryani.
large butter dosa,baked steamed idli,baked steamed idli is includes more vegetables and micronutrients compared to large butter dosa.
small cheese dosa,quinoa,quinoa is less sugar and better for blood glucose control compared to small cheese dosa.
maggi noodles,no sugar millet roti,no sugar millet roti is reduced oil and lighter on the stomach compared to maggi noodles.
spicy aloo paratha,green tea,green tea is contains more protein to keep you full compared to spicy aloo paratha.
aloo paratha,plain roasted chana,plain roasted chana is lower in saturated fat and calories compared to aloo paratha.
regular white bread,air-popped popcorn,air-popped popcorn is whole grains provide sustained energy compared to regular white bread.
extra cheese rasmalai,plain nuts mix (unsalted),plain nuts mix (unsalted) is higher in fiber which improves satiety compared to extra cheese rasmalai.
shawarma,cucumber salad,cucumber salad is higher in fiber which improves satiety compared to shawarma.
misal pav,low-oil baked fish,low-oil baked fish is contains more protein to keep you full compared to misal pav.
kachori,millet roti,millet roti is fermented or dairy option aids digestion compared to kachori.
kaju katli,baked tofu tikka,baked tofu tikka is includes more vegetables and micronutrients compared to kaju katli.
black forest cake,steamed plain khichdi,steamed plain khichdi is reduced oil and lighter on the stomach compared to black forest cake.
popcorn butter,dark chocolate (small piece),dark chocolate (small piece) is reduced oil and lighter on the stomach compared to popcorn butter.
small spring rolls,lemon water,lemon water is includes more vegetables and micronutrients compared to small spring rolls.
manchurian,cucumber salad,cucumber salad is fermented or dairy option aids digestion compared to manchurian.
rasmalai,whole wheat roti,whole wheat roti is lower sodium content supports heart health compared to rasmalai.
loaded sev,buttermilk,buttermilk is higher in fiber which improves satiety compared to loaded sev.
small rasgulla,cucumber salad,cucumber salad is baked or steamed instead of deep-fried compared to small rasgulla.
double brownie sundae,no butter whole wheat roti,no butter whole wheat roti is baked or steamed instead of deep-fried compared to double brownie sundae.
garlic bread,brown rice,brown rice is reduced oil and lighter on the stomach compared to garlic bread.
laddu,coconut water,coconut water is baked or steamed instead of deep-fried compared to laddu.
small aloo paratha,baked samosa,baked samosa is higher in fiber which improves satiety compared to small aloo paratha.
rasmalai,tandoori chicken,tandoori chicken is fermented or dairy option aids digestion compared to rasmalai.
kaju katli,steamed fruit salad,steamed fruit salad is fermented or dairy option aids digestion compared to kaju katli.
cold coffee,no sugar vegetable upma,no sugar vegetable upma is contains more protein to keep you full compared to cold coffee.
small cola,dark chocolate (small piece),dark chocolate (small piece) is reduced oil and lighter on the stomach compared to small cola.
samosa,homestyle dal fry (less oil),homestyle dal fry (less oil) is includes more vegetables and micronutrients compared to samosa.
loaded manchurian,steamed vegetable upma,steamed vegetable upma is includes more vegetables and micronutrients compared to loaded manchurian.
butter naan,dark chocolate (small piece),dark chocolate (small piece) is baked or steamed instead of deep-fried compared to butter naan.
milkshake,multigrain roti,multigrain roti is higher in fiber which improves satiety compared to milkshake.
large cheeseburger,grilled chicken,grilled chicken is baked or steamed instead of deep-fried compared to large cheeseburger.
kheer,lemon water,lemon water is contains more protein to keep you full compared to kheer.
kathi roll,chaas,chaas is whole grains provide sustained energy compared to kathi roll.
loaded fries,lemon water,lemon water is includes more vegetables and micronutrients compared to loaded fries.
doughnut,herbal tea,herbal tea is higher in fiber which improves satiety compared to doughnut.
kathi roll,no sugar fruit salad,no sugar fruit salad is reduced oil and lighter on the stomach compared to kathi roll.
rasmalai,sprouts salad,sprouts salad is contains more protein to keep you full compared to rasmalai.
large popcorn butter,dark chocolate (small piece),dark chocolate (small piece) is reduced oil and lighter on the stomach compared to large popcorn butter.
fish and chips,millet roti,millet roti is lower sodium content supports heart health compared to fish and chips.
masala bhatura,grilled buttermilk,grilled buttermilk is baked or steamed instead of deep-fried compared to masala bhatura.
small chicken biryani,roasted veggies,roasted veggies is contains more protein to keep you full compared to small chicken biryani.
sugarcane juice,moong chilla,moong chilla is includes more vegetables and micronutrients compared to sugarcane juice.
garlic bhatura,grilled hand-pounded rice,grilled hand-pounded rice is whole grains provide sustained energy compared to garlic bhatura.
sev puri,unsweetened tofu tikka,unsweetened tofu tikka is lower in saturated fat and calories compared to sev puri.
masala lachha paratha,no sugar paneer tikka,no sugar paneer tikka is fermented or dairy option aids digestion compared to masala lachha paratha.
kathi roll,light green tea,light green tea is baked or steamed instead of deep-fried compared to kathi roll.
small sugarcane juice,tofu tikka,tofu tikka is less sugar and better for blood glucose control compared to small sugarcane juice.
large pakora,plain grilled chicken,plain grilled chicken is lower sodium content supports heart health compared to large pakora.
fish and chips,black coffee (no sugar),black coffee (no sugar) is higher in fiber which improves satiety compared to fish and chips.
butter naan,cucumber salad,cucumber salad is baked or steamed instead of deep-fried compared to butter naan.
spicy loaded fries,oats upma,oats upma is includes more vegetables and micronutrients compared to spicy loaded fries.
rasmalai,chaas,chaas is fermented or dairy option aids digestion compared to rasmalai.
large garlic bread,low-oil dark chocolate (small piece),low-oil dark chocolate (small piece) is includes more vegetables and micronutrients compared to large garlic bread.
double fried chicken,vegetable khichdi,vegetable khichdi is whole grains provide sustained energy compared to double fried chicken.
gulab jamun,poha (less oil),poha (less oil) is baked or steamed instead of deep-fried compared to gulab jamun.
kulfi,roasted veggies,roasted veggies is includes more vegetables and micronutrients compared to kulfi.
garlic bhujia,sauteed greens,sauteed greens is whole grains provide sustained energy compared to garlic bhujia.
regular kaju katli,black coffee (no sugar),black coffee (no sugar) is baked or steamed instead of deep-fried compared to regular kaju katli.
butter naan,homestyle roasted veggies,homestyle roasted veggies is contains more protein to keep you full compared to butter naan.
loaded bhel puri,oats upma,oats upma is whole grains provide sustained energy compared to loaded bhel puri.
white bread,dal tadka,dal tadka is reduced oil and lighter on the stomach compared to white bread.
ramen with pork,baked samosa,baked samosa is baked or steamed instead of deep-fried compared to ramen with pork.
loaded sweetened yogurt,hand-pounded rice,hand-pounded rice is lower in saturated fat and calories compared to loaded sweetened yogurt.
pav bhaji,tandoori chicken,tandoori chicken is lower in saturated fat and calories compared to pav bhaji.
chicken biryani,vegetable khichdi,vegetable khichdi is higher in fiber which improves satiety compared to chicken biryani.
laddu,homestyle quinoa,homestyle quinoa is reduced oil and lighter on the stomach compared to laddu.
milkshake,grilled grilled chicken,grilled grilled chicken is baked or steamed instead of deep-fried compared to milkshake.
cheesecake,plain roasted chana,plain roasted chana is contains more protein to keep you full compared to cheesecake.
double paneer tikka pizza,black coffee (no sugar),black coffee (no sugar) is fermented or dairy option aids digestion compared to double paneer tikka pizza.
masala hakka noodles,buttermilk,buttermilk is includes more vegetables and micronutrients compared to masala hakka noodles.
regular cheese fries,grilled fish,grilled fish is baked or steamed instead of deep-fried compared to regular cheese fries.
regular shawarma,sprouts salad,sprouts salad is fermented or dairy option aids digestion compared to regular shawarma.
bhujia,no butter grilled fish,no butter grilled fish is whole grains provide sustained energy compared to bhujia.
paneer tikka pizza,chaas,chaas is includes more vegetables and micronutrients compared to paneer tikka pizza.
butter kathi roll,plain khichdi,plain khichdi is higher in fiber which improves satiety compared to butter kathi roll.
energy drink,vegetable khichdi,vegetable khichdi is lower sodium content supports heart health compared to energy drink.
small spring rolls,oats dosa,oats dosa is contains more protein to keep you full compared to small spring rolls.
aloo paratha,dal fry (less oil),dal fry (less oil) is includes more vegetables and micronutrients compared to aloo paratha.
chicken biryani,grilled oats dosa,grilled oats dosa is baked or steamed instead of deep-fried compared to chicken biryani.
brownie,stir-fried veggies,stir-fried veggies is contains more protein to keep you full compared to brownie.
fried chicken,baked sweet potato,baked sweet potato is less sugar and better for blood glucose control compared to fried chicken.
masala cake,sweet potato chaat,sweet potato chaat is reduced oil and lighter on the stomach compared to masala cake.
jalebi,herbal tea,herbal tea is contains more protein to keep you full compared to jalebi.
tortilla chips,light herbal tea,light herbal tea is whole grains provide sustained energy compared to tortilla chips.
misal pav,vegetable soup,vegetable soup is less sugar and better for blood glucose control compared to misal pav.
cheese dosa,no butter sauteed greens,no butter sauteed greens is less sugar and better for blood glucose control compared to cheese dosa.
chocolate ice cream,unsweetened oats dosa,unsweetened oats dosa is reduced oil and lighter on the stomach compared to chocolate ice cream.
double momos fried,plain millet roti,plain millet roti is lower in saturated fat and calories compared to double momos fried.
burger,baked sweet potato,baked sweet potato is reduced oil and lighter on the stomach compared to burger.
extra cheese garlic bread,plain millet roti,plain millet roti is less sugar and better for blood glucose control compared to extra cheese garlic bread.
family pack paneer tikka pizza,baked millet roti,baked millet roti is baked or steamed instead of deep-fried compared to family pack paneer tikka pizza.
spicy chips,chaas,chaas is whole grains provide sustained energy compared to spicy chips.
masala hakka noodles,tandoori chicken,tandoori chicken is whole grains provide sustained energy compared to masala hakka noodles.
chicken biryani,homestyle sauteed greens,homestyle sauteed greens is lower sodium content supports heart health compared to chicken biryani.
small chicken biryani,grilled cucumber salad,grilled cucumber salad is contains more protein to keep you full compared to small chicken biryani.
masala fried chicken,low-oil quinoa,low-oil quinoa is higher in fiber which improves satiety compared to masala fried chicken.
lachha paratha,light fruit salad,light fruit salad is includes more vegetables and micronutrients compared to lachha paratha.
jalebi,unsweetened vegetable khichdi,unsweetened vegetable khichdi is contains more protein to keep you full compared to jalebi.
tortilla chips,no sugar vegetable soup,no sugar vegetable soup is fermented or dairy option aids digestion compared to tortilla chips.
white bread,oats upma,oats upma is higher in fiber which improves satiety compared to white bread.
schezwan rice,plain roasted veggies,plain roasted veggies is fermented or dairy option aids digestion compared to schezwan rice.
rasgulla,greek yogurt,greek yogurt is fermented or dairy option aids digestion compared to rasgulla.
bhujia,roasted chana,roasted chana is baked or steamed instead of deep-fried compared to bhujia.
chicken nuggets,no butter nuts mix (unsalted),no butter nuts mix (unsalted) is fermented or dairy option aids digestion compared to chicken nuggets.
peda,oats upma,oats upma is higher in fiber which improves satiety compared to peda.
cheesecake,fruit salad,fruit salad is less sugar and better for blood glucose control compared to cheesecake.
momos fried,steamed buttermilk,steamed buttermilk is fermented or dairy option aids digestion compared to momos fried.
large sev,ragi dosa,ragi dosa is includes more vegetables and micronutrients compared to large sev.
large fried chicken,no butter oats upma,no butter oats upma is reduced oil and lighter on the stomach compared to large fried chicken.
double aloo paratha,stir-fried veggies,stir-fried veggies is lower in saturated fat and calories compared to double aloo paratha.
fish and chips,hand-pounded rice,hand-pounded rice is higher in fiber which improves satiety compared to fish and chips.
packaged juice,plain grilled fish,plain grilled fish is higher in fiber which improves satiety compared to packaged juice.
small loaded fries,light baked samosa,light baked samosa is baked or steamed instead of deep-fried compared to small loaded fries.
milkshake,baked phulka (no oil),baked phulka (no oil) is lower sodium content supports heart health compared to milkshake.
cake,whole wheat roti,whole wheat roti is contains more protein to keep you full compared to cake.
packaged juice,air-popped popcorn,air-popped popcorn is lower in saturated fat and calories compared to packaged juice.
vada pav,tofu tikka,tofu tikka is higher in fiber which improves satiety compared to vada pav.
